age,gender,marital_status,country,place_you_live_in,no_of_family_members_living_with,employment_type,current_industry,current_industry_other,"Number of employees in your organization",total_work_experience,work_experience_with_current_company,current_role_category,current_role_category_other,current_annual_salary,mode_of_working,how_many_days_you_go_to_office,how_many_days_personal_choice_or_prescribed_by_company,if_personal_choice_how_many_days_willing_to_work_in_office,total_commute_time_in_minutes,rating_wfh_hybrid_wfo,factors_influenced_wfo,factors_influenced_wfo_other,factors_influenced_hybrid,factors_influenced_hybrid_other,factors_influenced_wfh,factors_influenced_wfh_other,entry_id,entry_status,created_at
39,Male,Married,India,Metro,3,Government,Manufacturing,,1001-10000,16,16,"Mid-Level Management",,20,"Complete work from office",6,"Prescribed by company",5,20,6,,,"Get time to spend with colleagues as well as family",,,,193,unread,"2023-02-07 13:23:22"
39,Female,Married,India,Urban,4,Private,Technology,,10000+,17,13,"Mid-Level Management",,95,Hybrid,3,"Personal choice",,25,10,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Get better sleep, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,192,unread,"2023-02-07 13:19:40"
32,Female,Married,India,Metro,1,Private,Technology,,301-1000,7,1,"Frontline Managers",,7.5,"Complete work from office",5,"Prescribed by company",3,50,6,,,"Work life balance (Ex., better work life seperation)",,,,191,unread,"2023-02-07 13:12:29"
34,Female,Married,India,Metro,5,Private,Technology,,1-300,3,1,"Mid-Level Management",,6,Hybrid,2,"Personal choice",,60,7,,,"Flexibility - Better Control over work hours and work location, Relatively less commute as compared to only working from office, Not all days are as demanding to be in office, Better Productivity",,,,190,unread,"2023-02-07 12:45:00"
40,Male,Married,India,Urban,2,Private,Other,Telecom,10000+,15,6,"Mid-Level Management",,28,"Complete work from office",6,"Prescribed by company",5,60,0,"Better interpersonal connect, Better infrastructure, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Better Productivity, Optimize Innovation & Collaboration",,,,,,189,unread,"2023-02-07 11:57:23"
35,Male,Married,India,Metro,2,Private,Technology,,1-300,10,2,"Mid-Level Management",,15,Hybrid,4,"Personal choice",,15,10,,,,,"Avoid the long commute to office, Work life balance (Ex., better work life seperation), Able to make healthier choices like exercising or preparing healthire meals",,188,unread,"2023-02-07 10:59:04"
40,Male,Married,India,Town,6,Private,Manufacturing,,1-300,15,7,"Top Level Management",,7.5,"Complete work from office",6,"Prescribed by company",5,650,5,,,"Work life balance (Ex., better work life seperation), Better Productivity",,,,187,unread,"2023-02-07 10:49:56"
28,Female,Married,India,Metro,1,Private,Manufacturing,,10000+,7,7,"Mid-Level Management",,20,"Complete work from office",5,"Prescribed by company",0,20,5,,,"Get time to spend with colleagues as well as family, Not all days are as demanding to be in office, Better Productivity",,,,186,unread,"2023-02-07 10:09:33"
35,Male,Single,India,Metro,0,"Self Employed",E-commerce,,10000+,12,8,"Mid-Level Management",,0,"Complete work from office",5,"Prescribed by company",5,15,0,"Better interpersonal connect, Better infrastructure, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Better Productivity, Optimize Innovation & Collaboration",,,,,,185,unread,"2023-02-07 09:35:34"
29,Male,Married,India,Metro,2,Private,Technology,,301-1000,6,1,"Frontline Managers",,14,"Complete work from office",5,"Prescribed by company",3,60,5,,,"Flexibility - Better Control over work hours and work location",,,,184,unread,"2023-02-07 09:00:12"
36,Male,Married,India,Metro,4,"Self Employed",Educational,,1-300,13,1,Others,Consultant,60,Hybrid,3,"Prescribed by company",1,20,10,,,,,"Avoid the long commute to office",,183,unread,"2023-02-07 08:00:53"
38,Male,Married,India,Village,6,Government,Educational,,1-300,18,8,Associates,,7,"Complete work from office",6,"Prescribed by company",5,420,9,,,,,"Avoid the long commute to office",,182,unread,"2023-02-07 07:37:18"
43,Male,Married,India,Metro,3,Private,Technology,,301-1000,15,12,"Frontline Managers",,40,"Complete work from office",5,"Prescribed by company",2,90,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Work life balance (Ex., better work life seperation), Sense of being empowered and trusted, Better Productivity",,,,181,unread,"2023-02-07 07:14:51"
38,Male,Married,India,Metro,4,Private,Technology,,301-1000,15,3,"Mid-Level Management",,25,"Complete work from office",6,"Prescribed by company",4,120,8,,,,,"Avoid the long commute to office",,180,unread,"2023-02-07 07:11:05"
28,Male,Single,India,Metro,0,Private,Educational,,1001-10000,7,1.5,"Mid-Level Management",,30,"Complete work from office",6,"Prescribed by company",5,60,6,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Sense of being empowered and trusted, Having a more physically active life, Better Productivity",,,,179,unread,"2023-02-07 06:58:59"
20,Male,Single,India,Town,3,Private,Technology,,1-300,0,.6,Others,Intern,,"Complete work from office",5,"Prescribed by company",4,480,3,"Better interpersonal connect, Better infrastructure",,,,,,178,unread,"2023-02-07 06:53:19"
34,Male,Married,India,Urban,1,Private,Manufacturing,,10000+,13,2,"Mid-Level Management",,28,"Complete work from office",5,"Prescribed by company",5,150,3,"Better interpersonal connect, Better Productivity",,,,,,177,unread,"2023-02-07 06:31:59"
34,Male,Married,India,Metro,6,Private,Retail,,301-1000,12,1,"Frontline Managers",,1,Hybrid,2,"Prescribed by company",1,100,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Sense of being empowered and trusted, Having a more physically active life, Better Productivity",,,,176,unread,"2023-02-07 06:18:34"
29,Male,Single,India,Metro,0,Private,Technology,,1-300,9,4,"Mid-Level Management",,18,Hybrid,2,"Prescribed by company",2,30,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Sense of being empowered and trusted, Having a more physically active life, Better Productivity",,,,175,unread,"2023-02-07 06:15:55"
32,Male,Married,India,Metro,2,Government,Other,Defence,1001-10000,9.5,9.5,"Mid-Level Management",,18,"Complete work from office",5,"Prescribed by company",3,20,5,,,"Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Sense of being empowered and trusted, Having a more physically active life, Better Productivity",,,,174,unread,"2023-02-07 06:05:56"
40,Male,Married,India,Metro,4,Private,Other,Consulting,1001-10000,17,2,"Mid-Level Management",,,"Complete work from office",5,"Prescribed by company",4,90,3,"Better interpersonal connect, Better focus on tasks & less distractions, Having a more physically active life, Better Productivity, Optimize Innovation & Collaboration",,,,,,173,unread,"2023-02-07 06:04:35"
31,Male,Married,India,Urban,2,Private,Healthcare,,1001-10000,9,2,"Mid-Level Management",,57,Hybrid,2,"Personal choice",,27,2,"Better interpersonal connect, Better focus on tasks & less distractions, Having a more physically active life, Better Productivity, Optimize Innovation & Collaboration",,,,,,172,unread,"2023-02-07 06:04:35"
29,Male,Single,India,Urban,0,Private,Manufacturing,,1001-10000,8,8,"Mid-Level Management",,25,"Complete work from office",5,"Prescribed by company",5,45,1,"Better interpersonal connect, Better infrastructure, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Having a more physically active life, Better Productivity, Optimize Innovation & Collaboration",,,,,,171,unread,"2023-02-07 06:04:23"
26,Male,Single,India,Metro,0,Private,Technology,,1001-10000,5,5,"Mid-Level Management",,,"Complete work from office",5,"Personal choice",,30,7,,,"Flexibility - Better Control over work hours and work location",,,,170,unread,"2023-02-07 05:59:38"
37,Male,Married,India,Metro,2,Private,Technology,,10000+,15,2,"Mid-Level Management",,0,"Complete work from home",,,,0,10,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Get better sleep, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,169,unread,"2023-02-07 05:59:03"
41,Male,Married,India,Metro,4,"Self Employed",Technology,,10000+,20,4,"Mid-Level Management",,40,Hybrid,3,"Personal choice",,50,6,,,"Flexibility - Better Control over work hours and work location, Relatively less commute as compared to only working from office, Not all days are as demanding to be in office, Better Productivity",,,,168,unread,"2023-02-07 05:54:32"
40,Male,Married,India,Urban,4,Private,Technology,,10000+,17,10,"Mid-Level Management",,,Hybrid,2,"Prescribed by company",2,120,5,,,"Get time to spend with colleagues as well as family, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Having a more physically active life",,,,167,unread,"2023-02-07 05:54:22"
41,Male,Married,India,Urban,5,Private,Other,Engineering,1001-10000,17,11,"Mid-Level Management",,30,"Complete work from home",,,,60,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office",,,,166,unread,"2023-02-07 05:49:32"
32,Male,Married,India,Metro,3,Private,Technology,,1-300,9,2,"Frontline Managers",,21,Hybrid,3,"Prescribed by company",7,150,0,"Better interpersonal connect, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Having a more physically active life, Better Productivity, Optimize Innovation & Collaboration",,,,,,165,unread,"2023-02-07 05:46:12"
41,Male,Married,India,Urban,2,Private,Other,,10000+,19,10,"Mid-Level Management",,25,"Complete work from office",6,"Prescribed by company",5,180,1,"Better interpersonal connect, Better infrastructure, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Having a more physically active life, Better Productivity, Optimize Innovation & Collaboration",,,,,,164,unread,"2023-02-07 05:44:30"
32,Male,Married,India,Metro,3,Private,Technology,,301-1000,12,2,"Frontline Managers",,0,Hybrid,3,"Prescribed by company",1,30,2,"Better interpersonal connect, Better focus on tasks & less distractions, Better Productivity",,,,,,163,unread,"2023-02-07 05:44:03"
30,Male,Married,India,Urban,3,Private,Other,Consultancy,10000+,8,1,Associates,,18.5,Hybrid,1,"Personal choice",,0,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office",,,,162,unread,"2023-02-07 05:43:35"
25,Male,Single,India,Metro,4,Private,Manufacturing,,1001-10000,4,1,"Frontline Managers",,10,Hybrid,3,"Prescribed by company",5,60,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Sense of being empowered and trusted, Having a more physically active life, Better Productivity",,,,161,unread,"2023-02-07 05:43:21"
35,Male,Married,India,Urban,4,Private,Technology,,10000+,12,12,"Mid-Level Management",,21,Hybrid,3,"Prescribed by company",1,110,10,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,160,unread,"2023-02-07 05:41:47"
38,Male,Married,India,Metro,3,Private,Technology,,10000+,18,7,"Mid-Level Management",,,Hybrid,1,"Personal choice",,80,7,,,"Flexibility - Better Control over work hours and work location, Relatively less commute as compared to only working from office, Not all days are as demanding to be in office, Better Productivity",,,,159,unread,"2023-02-07 05:41:00"
37,Male,Married,India,Metro,3,Private,"Real estate",,301-1000,15,0.5,"Top Level Management",,65,"Complete work from office",5,"Prescribed by company",4,150,10,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Get better sleep, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,158,unread,"2023-02-07 05:35:21"
29,Female,Married,India,Metro,3,Private,Technology,,10000+,5,5,"Mid-Level Management",,19,"Complete work from office",5,"Prescribed by company",6,60,6,,,"Flexibility - Better Control over work hours and work location",,,,157,unread,"2023-02-07 05:30:29"
25,Male,Single,India,Urban,1,Private,Technology,,10000+,4,4,"Frontline Managers",,225,Hybrid,3,"Prescribed by company",0,5,10,,,,,"Allows more time to spend with friends and family, Get better sleep, Better Productivity",,156,unread,"2023-02-07 05:28:42"
42,Male,Married,India,Metro,4,"Self Employed",Healthcare,,1-300,17,12,"Top Level Management",,,Hybrid,4,"Personal choice",,15,5,,,"Flexibility - Better Control over work hours and work location",,,,155,unread,"2023-02-07 05:25:41"
39,Female,Married,India,Metro,4,Private,Technology,,1001-10000,12,5,Associates,,19,"Complete work from home",,,,60,9,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Get better sleep",,154,unread,"2023-02-07 05:23:39"
43,Male,Married,India,Metro,3,Private,Hospitality,,1001-10000,19,8,"Mid-Level Management",,26,"Complete work from office",6,"Prescribed by company",5,40,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Sense of being empowered and trusted, Having a more physically active life, Better Productivity",,,,153,unread,"2023-02-07 05:19:55"
29,Female,Single,India,Urban,4,Private,E-commerce,,10000+,6,0,Associates,,15,"Complete work from home",,,,60,5,,,"Flexibility - Better Control over work hours and work location, Having a more physically active life, Better Productivity",,,,152,unread,"2023-02-07 04:36:13"
35,Female,Married,India,Metro,4,Private,Technology,,10000+,10,10,Associates,,12,"Complete work from home",,,,35,9,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Get better sleep, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,151,unread,"2023-02-07 03:59:53"
40,Male,Married,India,Metro,3,Government,Manufacturing,,10000+,14,14,"Mid-Level Management",,18,"Complete work from office",6,"Prescribed by company",4,60,7,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office",,,,150,unread,"2023-02-07 03:18:28"
41,Male,Married,India,Metro,3,Government,Manufacturing,,1001-10000,18,15,"Mid-Level Management",,30,"Complete work from office",6,"Prescribed by company",5,60,8,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Get better sleep, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,149,unread,"2023-02-07 03:07:13"
39,Female,Married,India,"Semi Urban",3,"Self Employed",Healthcare,,1-300,10,4,Others,,,"Complete work from home",,,,0,5,,,"Flexibility - Better Control over work hours and work location",,,,148,unread,"2023-02-07 02:55:44"
41,Male,Married,India,Urban,4,"Self Employed",Technology,,1001-10000,15,2,"Frontline Managers",,25,Hybrid,2,"Personal choice",,120,7,,,"Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Sense of being empowered and trusted",,,,147,unread,"2023-02-07 02:43:18"
35,Male,Married,India,Metro,4,Private,Finance,,10000+,12,6,"Mid-Level Management",,48,"Complete work from office",5,"Prescribed by company",7,200,7,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Having a more physically active life",,,,146,unread,"2023-02-07 01:27:36"
39,Male,Married,India,Town,4,Private,Educational,,301-1000,18,18,Associates,,8,"Complete work from office",6,"Prescribed by company",5,60,1,Other,,,,,,145,unread,"2023-02-07 01:21:16"
38,Male,Married,India,Metro,3,Government,Technology,,301-1000,15,15,Associates,,18,"Complete work from office",5,"Prescribed by company",3,60,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Not all days are as demanding to be in office, Better Productivity",,,,144,unread,"2023-02-07 01:15:59"
38,Male,Married,India,Metro,3,Government,Manufacturing,,1001-10000,15,15,"Frontline Managers",,25,"Complete work from office",6,"Prescribed by company",5,150,7,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Having a more physically active life, Better Productivity",,,,143,unread,"2023-02-07 01:11:33"
26,Male,Single,India,Urban,2,Private,Technology,,301-1000,5.6,2,Associates,,30,"Complete work from home",,,,0,5,,,"Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation)",,,,142,unread,"2023-02-07 00:40:42"
34,Female,Married,"United States (US)",Metro,2,Private,Technology,,10000+,10,1,"Mid-Level Management",,,Hybrid,3,"Prescribed by company",2,120,7,,,"Flexibility - Better Control over work hours and work location, Work life balance (Ex., better work life seperation), Sense of being empowered and trusted, Better Productivity",,,,141,unread,"2023-02-06 23:17:18"
35,Male,Married,India,Metro,4,Government,Finance,,1-300,3,5,"Mid-Level Management",,500,"Complete work from office",3,"Prescribed by company",5,320,3,"Better infrastructure",,,,,,140,unread,"2023-02-06 22:36:09"
32,Female,Single,India,Metro,0,Private,Finance,,10000+,7,1,"Frontline Managers",,,Hybrid,2,"Personal choice",,60,2,"Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Having a more physically active life, Better Productivity",,,,,,139,unread,"2023-02-06 20:52:11"
35,Male,Married,Luxembourg,Urban,3,Private,Other,Logistics,10000+,13,5,"Mid-Level Management",,,Hybrid,3,"Personal choice",,60,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Sense of being empowered and trusted, Having a more physically active life, Better Productivity",,,,138,unread,"2023-02-06 19:28:43"
30,Male,Single,India,Urban,4,Private,Technology,,1-300,7,2,Associates,,,"Complete work from office",7,"Prescribed by company",2,45,8,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,137,unread,"2023-02-06 19:04:32"
35,Female,Married,India,Metro,2,Private,Technology,,10000+,12,5,"Mid-Level Management",,30,Hybrid,2,"Prescribed by company",1,90,8,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family",,136,unread,"2023-02-06 18:44:48"
27,Female,Single,India,Metro,3,Private,Hospitality,,301-1000,3,1,"Mid-Level Management",,15,"Complete work from office",5,"Prescribed by company",1,140,10,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Get better sleep, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,135,unread,"2023-02-06 18:30:39"
29,Male,Single,India,Metro,3,Government,Finance,,10000+,5,5,"Mid-Level Management",,15,"Complete work from office",6,"Prescribed by company",5,40,1,"Better interpersonal connect, Better infrastructure, Better focus on tasks & less distractions, Better Productivity",,,,,,134,unread,"2023-02-06 17:58:25"
39,Male,Married,India,Metro,5,Government,Other,"Railway (Transport)",10000+,14,14,"Frontline Managers",,16,"Complete work from office",6,"Prescribed by company",0,120,8,,,,,"Avoid the long commute to office, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,133,unread,"2023-02-06 17:52:15"
32,Male,Single,India,Metro,5,Government,Other,defence,301-1000,10,10,"Mid-Level Management",,15,"Complete work from office",6,"Prescribed by company",4,70,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Sense of being empowered and trusted, Having a more physically active life, Better Productivity",,,,132,unread,"2023-02-06 17:26:57"
33,Female,Single,India,Village,2,Private,Entertainment,,1001-10000,10,5,"Mid-Level Management",,,Hybrid,2,"Prescribed by company",1,120,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Better Productivity",,,,131,unread,"2023-02-06 17:21:56"
31,Female,Single,India,Metro,0,Private,Technology,,10000+,6,1,"Mid-Level Management",,,Hybrid,2,"Prescribed by company",2,15,9,,,,,"Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Get better sleep, Better Productivity",,130,unread,"2023-02-06 17:17:36"
38,Male,Married,India,Metro,3,Government,Manufacturing,,1001-10000,15,15,"Mid-Level Management",,,"Complete work from office",6,"Prescribed by company",5,180,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Sense of being empowered and trusted, Better Productivity",,,,129,unread,"2023-02-06 17:16:18"
31,Male,Single,India,Village,0,Government,Other,Defence,10000+,10,9,Others,"Air force officer",12,"Complete work from office",6,"Prescribed by company",5,5,3,"Better interpersonal connect, Better infrastructure, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Having a more physically active life",,,,,,128,unread,"2023-02-06 17:14:02"
34,Female,Married,India,Metro,2,Private,E-commerce,,10000+,12,1,"Mid-Level Management",,,Hybrid,1,"Personal choice",,90,4,,,"Flexibility - Better Control over work hours and work location, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office",,,,127,unread,"2023-02-06 17:05:04"
32,Male,Married,India,Urban,2,Government,Other,Administration,10000+,4,4,"Mid-Level Management",,6,"Complete work from office",6,"Personal choice",,60,2,"Better Productivity",,,,,,126,unread,"2023-02-06 16:54:26"
39,Male,Married,India,Metro,3,Private,Technology,,301-1000,15,9,"Frontline Managers",,32,Hybrid,1,"Prescribed by company",2,30,6,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Sense of being empowered and trusted, Having a more physically active life, Better Productivity",,,,125,unread,"2023-02-06 16:48:50"
34,Male,Married,India,Town,2,Private,Manufacturing,,10000+,12,12,"Mid-Level Management",,,"Complete work from office",5,"Prescribed by company",3,100,5,,,"Flexibility - Better Control over work hours and work location, Work life balance (Ex., better work life seperation)",,,,124,unread,"2023-02-06 16:45:32"
39,Male,Married,India,Urban,9,Private,Technology,,1001-10000,14,2,"Mid-Level Management",,19.5,"Complete work from home",,,,0,10,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Get better sleep, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,123,unread,"2023-02-06 16:37:59"
40,Male,Married,Australia,Metro,3,Private,Finance,,10000+,15,3,"Mid-Level Management",,,Hybrid,1,"Personal choice",,120,10,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Better focus on tasks & less distractions, Able to make healthier choices like exercising or preparing healthire meals",,122,unread,"2023-02-06 16:33:00"
29,Male,Single,India,Urban,0,Private,Educational,,1-300,2,1,"Frontline Managers",,6,"Complete work from office",5,"Prescribed by company",3,20,7,,,"Flexibility - Better Control over work hours and work location, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Sense of being empowered and trusted, Better Productivity",,,,121,unread,"2023-02-06 16:32:00"
27,Female,Single,India,Metro,1,Private,Technology,,10000+,6,6,"Mid-Level Management",,,Hybrid,2,"Personal choice",,120,7,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Sense of being empowered and trusted, Having a more physically active life, Better Productivity",,,,120,unread,"2023-02-06 16:28:11"
38,Male,Married,Japan,Metro,3,Private,Technology,,10000+,14,8,"Mid-Level Management",,,Hybrid,1,"Personal choice",,70,9,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Get better sleep, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,119,unread,"2023-02-06 16:02:59"
42,Male,Married,India,Metro,4,Private,Other,Advisory,10000+,17,9,"Mid-Level Management",,,Hybrid,2,"Personal choice",,480,9,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,118,unread,"2023-02-06 15:57:44"
39,Male,Married,India,Metro,3,Private,Technology,,10000+,14,5,"Frontline Managers",,24,Hybrid,2,"Prescribed by company",2,30,5,,,"Work life balance (Ex., better work life seperation)",,,,117,unread,"2023-02-06 15:45:25"
33,Male,Married,India,Metro,4,Private,Technology,,10000+,12,1,"Mid-Level Management",,22,Hybrid,3,"Prescribed by company",3,120,8,,,,,"Avoid the long commute to office, Work life balance (Ex., better work life seperation)",,116,unread,"2023-02-06 15:42:25"
33,Male,Married,India,Metro,4,Private,Technology,,10000+,8,3,Associates,,20,Hybrid,4,"Prescribed by company",3,35,6,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Sense of being empowered and trusted, Having a more physically active life, Better Productivity",,,,115,unread,"2023-02-06 15:42:05"
38,Male,Married,"United States (US)",Metro,3,Private,Technology,,10000+,14,3,"Mid-Level Management",,,"Complete work from home",,,,0,9,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Get better sleep, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,114,unread,"2023-02-06 15:38:38"
39,Male,Married,India,Urban,5,Private,Technology,,10000+,16,0.6,"Mid-Level Management",,28,"Complete work from home",,,,60,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office",,,,113,unread,"2023-02-06 15:36:48"
29,Female,Single,India,Metro,2,Private,Finance,,10000+,5,1,"Mid-Level Management",,8,"Complete work from office",3,"Prescribed by company",3,20,5,,,"Get time to spend with colleagues as well as family",,,,112,unread,"2023-02-06 15:32:26"
40,Male,Married,India,Metro,4,Private,Technology,,10000+,12,5,"Mid-Level Management",,13,Hybrid,3,"Prescribed by company",3,120,10,,,,,"Avoid the long commute to office, Better focus on tasks & less distractions, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,111,unread,"2023-02-06 15:30:44"
37,Male,Single,India,Urban,0,Private,Other,Legal,1-300,12,4,"Mid-Level Management",,14,"Complete work from home",,,,0,10,,,,,"Work life balance (Ex., better work life seperation)",,110,unread,"2023-02-06 15:29:59"
38,Male,Married,"United States (US)",Urban,2,Private,Technology,,10000+,15,1,"Frontline Managers",,,"Complete work from home",,,,0,9,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,109,unread,"2023-02-06 15:23:42"
35,Male,Single,India,Village,3,Private,Technology,,1-300,7,0.6,"Top Level Management",,,"Complete work from home",,,,0,10,,,,,"Avoid the long commute to office, Allows more time to spend with friends and family, Work life balance (Ex., better work life seperation), Better focus on tasks & less distractions, Get better sleep, Able to make healthier choices like exercising or preparing healthire meals, Better Productivity",,108,unread,"2023-02-06 15:23:20"
30,Male,Married,India,Village,5,Government,Finance,,10000+,6,6,"Frontline Managers",,7,"Complete work from office",6,"Prescribed by company",5,600,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Relatively less commute as compared to only working from office, Work life balance (Ex., better work life seperation), Not all days are as demanding to be in office, Sense of being empowered and trusted, Having a more physically active life, Better Productivity",,,,107,unread,"2023-02-06 15:12:11"
31,Male,Single,India,Metro,3,Private,Technology,,10000+,8,1.5,Associates,,25,"Complete work from home",,,,0,2,"Better interpersonal connect, Work life balance (Ex., better work life seperation), Having a more physically active life, Optimize Innovation & Collaboration",,,,,,106,unread,"2023-02-06 14:28:02"
32,Male,Married,India,Metro,2,Private,Technology,,1001-10000,10.5,3,"Mid-Level Management",,32,Hybrid,4,"Prescribed by company",2,3,5,,,"Flexibility - Better Control over work hours and work location, Get time to spend with colleagues as well as family, Work life balance (Ex., better work life seperation), Having a more physically active life",,,,105,unread,"2023-02-06 14:26:40"
